week,OffenseTeam,DefenseTeam,Down,YardsToGo,yardline_100,play_type,Quarter,game_seconds_remaining,game_half,drive,series,score_differential,stadium,roof,surface_type,HOME_day_since_last_game,AWAY_day_since_last_game,total_play_count,home_team_on_offense,home_team_on_defense,season_progression,defenders_in_box,offense_formation,Temperature,Precipitation,goal_line_situation,pass_count,run_count,current_defence_rank,temperature_grade,epa,late_season,is_close_game,poor_field_condition,rest_differential,blitz_situation,short_rest,pass_run_ratio,offensive_predictability,fourth_down_attempt,third_and_long,Predicted,Actual,Fold,Rule_Number
10,30,13,2,5,56,3,2,2164,1,7,24,0,25,3,2,4.0,4.0,62,29,33,0.588235294,7,7,44.84,0.0,0,28,20,11,2,0.452837851,0,0,1,0.0,1,1,0.583333333,0.083333333,0,0,1,1,39,20
11,8,10,2,9,40,4,4,244,2,20,54,8,10,1,1,7.0,7.0,155,75,80,0.647058824,7,7,36.98857143,0.0,0,71,47,8,1,-0.575574449,0,0,0,0.0,1,0,0.601694915,0.101694915,0,0,1,1,39,20
4,10,15,2,13,82,4,4,363,2,22,61,-4,10,1,1,7.0,7.0,152,81,71,0.235294118,6,7,61.59714286,0.011285714,0,64,52,26,0,1.033814164,0,1,0,0.0,0,0,0.551724138,0.051724138,0,0,1,1,39,20
10,30,13,2,5,56,3,2,2164,1,7,24,0,25,3,2,4.0,4.0,62,29,33,0.588235294,7,7,44.84,0.0,0,28,20,11,2,0.452837851,0,0,1,0.0,1,1,0.583333333,0.083333333,0,0,1,1,39,20
16,9,17,2,4,41,8,1,3148,1,2,6,-3,30,1,3,10.0,8.0,16,6,10,0.941176471,7,8,60.14,0.0,0,6,7,14,2,-0.268191155,1,0,0,2.0,1,0,0.461538462,0.038461538,0,0,0,1,39,36
7,21,28,2,5,71,4,1,3266,1,2,6,-7,12,3,2,7.0,7.0,14,3,11,0.411764706,8,2,46.91,0.0,0,5,6,9,2,0.570167889,0,0,1,0.0,1,0,0.454545455,0.045454545,0,0,0,1,39,36
13,31,26,2,6,38,4,3,1551,2,16,32,-11,1,3,2,5.0,11.0,99,47,52,0.764705882,7,8,29.78857143,0.0,0,56,19,2,1,-0.882954351,1,0,1,-6.0,1,1,0.746666667,0.246666667,0,0,1,1,39,20
3,25,6,1,10,81,4,1,3069,1,4,9,0,17,3,2,7.0,10.0,21,9,12,0.176470588,6,8,77.59142857,0.0,0,10,8,23,3,0.361388716,0,0,1,-3.0,0,0,0.555555556,0.055555556,0,0,0,1,39,36
2,3,23,1,20,65,4,2,2288,1,8,22,7,23,3,1,7.0,7.0,59,23,36,0.117647059,7,7,80.85714286,0.0,0,25,20,10,3,3.466870873,0,0,0,0.0,1,0,0.555555556,0.055555556,0,0,1,1,39,27
11,8,10,2,9,40,4,4,244,2,20,54,8,10,1,1,7.0,7.0,155,75,80,0.647058824,7,7,36.98857143,0.0,0,71,47,8,1,-0.575574449,0,0,0,0.0,1,0,0.601694915,0.101694915,0,0,1,1,39,20
16,26,13,2,8,63,4,4,155,2,23,60,4,1,3,2,6.0,7.0,154,81,73,0.941176471,5,0,38.22285714,0.0,0,77,40,11,1,-0.477685538,1,1,1,-1.0,0,1,0.658119658,0.158119658,0,0,0,1,39,18
4,10,15,2,13,82,4,4,363,2,22,61,-4,10,1,1,7.0,7.0,152,81,71,0.235294118,6,7,61.59714286,0.011285714,0,64,52,26,0,1.033814164,0,1,0,0.0,0,0,0.551724138,0.051724138,0,0,1,1,39,20
3,29,9,2,10,14,4,3,985,2,19,39,15,7,3,2,7.0,7.0,125,56,69,0.176470588,6,7,53.21,0.001333333,0,68,27,7,2,-1.364393223,0,0,1,0.0,0,0,0.715789474,0.215789474,0,0,1,1,39,20
7,12,11,2,10,98,4,2,2196,1,8,17,-14,24,0,2,7.0,7.0,56,22,34,0.411764706,4,0,73.91428571,0.0,0,24,19,8,3,1.067865345,0,0,1,0.0,0,0,0.558139535,0.058139535,0,0,0,1,39,18
7,3,24,2,10,34,8,1,3128,1,2,8,-3,23,3,1,7.0,6.0,19,13,6,0.411764706,6,7,50.84,0.0,0,10,5,24,2,0.381582336,0,0,0,1.0,0,1,0.666666667,0.166666667,0,0,0,1,39,36
